file_id,transcription_method,summary_method,summary_length,content
OHC003609_001,Synopsis,Manual,256,"Born 1963, Singapore. Family background. Mother played piano. Father had keen interest in classical music. Home filled with music. Interviewee and two brothers learnt music. Parents believed in role of music in all-round development of a child. All brothers anchored in piano. Acquiring certification from London Royal School of Music. Taking Music as ‘O’ level subject. Did not attend many concerts when young. External influences were mostly radio and vinyl records. Father played classical records. Interviewee started piano lessons in early primary. Later took violin lessons using grandfather’s old violin. Teachers’ opinions of violin and interviewee’s own. Types of piano. Details of lessons. Impressions of second piano teacher Mr Ng and teaching style. Changing attitudes towards practising. Elder brother was active clarinet player. Mention of Anglo-Chinese School teacher Dr Lim Peng Ann. Elder brother’s influence. Interviewee’s attitude towards music examinations and certification. Heavy schedule affected enjoyment of learning. Choice of examination pieces. Details about violin teacher Harry Khoo and impressions of lessons. Khoo later introduced interviewee to Singapore Youth Orchestra (SYO) and Singapore Philharmonic Orchestra. Why interviewee switched from piano to violin. More comments on music teachers, their styles, whether they taught full time. How interviewee’s heavy involvement in competitive swimming affected his music learning. Details about Music as an ‘O’ level subject: pre-requisites, students from mix of schools, size of class, location of class at Farrer Park, syllabus and assessment. Recruitment into SYO. Playing first violin. Practising in Farrer Park building. Frequency of rehearsals, playing small performances, reflections about experience."
OHC003609_002,Synopsis,Manual,256,"Joining Singapore Philharmonic Orchestra (SPO). Violin teacher strongly recommended interviewee’s parents to let interviewee audition. Why interviewee was initially against joining. Experience of auditioning. Getting selected for SPO along with violin teacher. Experience of first lesson. Feeling intimidated. Conductor Seiji Osawa. Meeting SPO management, including Leslie Fong and Robert Iau. Osawa’s conducting style. Details of an incident in which Osawa rescued a performance and displayed leadership. Being told SPO was disbanding and reactions. More details about audition experience. More details about SPO staff. Sponsorship and remuneration. Mix of adults and youths in SPO. More details about rehearsals. Interaction between members. Pressure to practise was high. Sectional leaders. After disbanding members went separate ways. Types of performances, pieces played, attire, audiences. Conductor took Conference Hall performances very seriously. Details about how interviewee’s first son picked music as a career pathway, learnt French horn and was studying at Nanyang Academy of Fine Arts. More details about SPO: concert preparation. Impact of SPO on Singapore art scene, interviewee’s parents, interviewee’s peers and friends. How peers responded to interviewee’s participation in sports and music. Type of music SPO played, venues. What happened after SPO disbanded."
OHC002806_011,Synopsis,Manual,256,"How Kingsmen coped with the economic crises of 2003. Cited the Robinsons group as strong clients. Changing profiles of clients over the years. The progress of technology and how it affected Kingsmen. Mentioned that in the late 80s, an apple computer with 3d Studio Max software cost about $50000. Described use of technology within the workplace and how it had helped them do more business. Divulged that Kingsmen were the pioneers of the Christmas light-ups. Talked of competition in their industry, and mentioned PICO as another main player. Estimated the consolidated turnover of their businesses to be 100 million. Why they decided to get listed and challenges faced."
OHC002806_006,Synopsis,Manual,256,"Detailed on rapport with suppliers. Distribution of tasks between his partner and him over the years. Listed initial projects undertaken. Recounted working on displays for branded watches, optics and popular electronic brands. Company expanded to include fashion and perfumery displays. Kingsmen's corporate relationship with Robinson Group of Companies for past 20 years. Company's expansion to regional and international realms. Christmas light-up contract and initial problems encountered. Culture of Kingsmen to get job done on time. Cited office design projects undertaken locally and overseas. How company got Kuwaiti departmental store project in eighties. Problems encountered with KL branch office. Regional expansion included Malaysia, Thailand and Indonesia."
OHC002806_004,Synopsis,Manual,256,"Description of projects undertaken. Market conditions and competitors. 50% of business was from repeat clients. Cinema advert painting done in canvas then. His emphasis on quality of work. Cited major differences in the nature of business then and now. Pakka paints used for projects. Positive and negative qualities of ex-boss. Lessons learnt from school of ""hard knocks"". His involvement in various areas of his business. Challenges faced. Annual turnover of company. PDA was pioneer in trade exhibitions. Reasons for not joining PDA as partner. Continued at PDA though he was underpaid to learn skills. . How he subsequently became number two at PDA."
OHC002806_013,Synopsis,Manual,256,"His views on creativity and how it could be nurtured and developed. Opined on whether entrepreneurs were born or made. Talked on the ""do"" and ""don'ts"" for aspiring entrepreneurs. Importance of public education on entrepreneurship. Felt a nation ought to have balance of various professions to ensure success. Believed that individual choices and interests should guide one's career. Circumstances leading to opening his own company. Sacrifices made and how he lost five years of his life in first 10 years of business. His three children and vacations taken as a family. His definition of success. Importance of good friends. Description of role model and why he admired him."
OHC002806_008,Synopsis,Manual,256,"How trend changes in Indonesia benefited his business. Effects of economic recession on Kingsmen. Measures taken to align themselves with market reality. Second wave of expansion motivated by money. Traveled intensively to setup office in Hong Kong, Beijing, Korea, Tokyo, Osaka, Shanghai and Taiwan within two years. Detailed on partnerships and share percentages. Pressurized by peers into upgrading IT facilities. Initiation of Kingsmen, Korea. Considerations before setting up an office. Viewed on business ""partnerships"" in various countries. Felt customer's success was his success. Kingsmen's corporate philosophy. Opined that an individual made the company. How he solved Kingsmen's problems in China. Staff strength in the various branches."
OHC002806_003,Synopsis,Manual,256,"Elaborated on his sporting activities. Recalled being on school editorial board. Differentiated between studying in school and later for his MBA at age 46. Supported his daughter's decision to switch from Science to Arts. His feedback to the system to avoid overemphasis on Science. Felt continued learning was important. Reason why he could not study further. An incident with his boss at Publicity and Display Associate (PDA). Stressed on importance of discipline. What ""entrepreneurship"" meant to him. Description of PDA premises and staff. Cited usefulness of LCCI Higher English and Accountancy courses. His advice to staff. Problems encountered with contractors. His experience at Carpenter's Day celebrations."
OHC002806_012,Synopsis,Manual,256,"How he went through with pushing for the company's public listing and why he felt it was time. Viewed on the attitudes of Singaporean workers. Kingsmen's ""most promising brand"" award and his thoughts on it. Considered branding to be more than just a pretty logo. His opinions on whether such awards actually helped businesses. His sentiments that a good company ""should be beyond its founders"", and that added to his desire for getting listed. How he declined when his daughter expressed interest to join Kingsmen. Spoke of how Kingsmen was still committed to injecting the element of fun in their tough industry. His opinions on promoting entrepreneurship among the younger generation."
OHC002806_007,Synopsis,Manual,256,"Thai, Indonesian and Malaysian offices setup to service major trade show organizers. Kingsmen's longstanding relationship with Singapore Convention Bureau. Difficulties encountered in setting up Thai office. Hour Glass and Burberry projects in Thailand. Why Canadian designer was hired by client to ensure international standards. Recalled initial struggle with tradesmen for quality finish. Kingsmen's spirit of achieving best quality possible and delivering what they promised. Recounted having to redo parts of project due to poor quality at company's expense to maintain high standard. Recalled losing half million due to depreciation of Rupiah in Indonesia. Major projects in Indonesia. Future plans for Indonesian office and why caution was necessary."
OHC002806_005,Synopsis,Manual,256,"Changes in terms of employment was reason for his decision to setup own company. Establishment of Kingsmen in partnership with colleague and five other employees. Considered his partner to be ""best designer"" and most disciplined. Description of residential building where Kingsmen first operated. Cited long lasting relationships with business associates as key to success. S$600,000 turnover within first nine months. Narrated an interesting episode with regard to office telephone line. Recalled first major exhibition with Singapore Manufacturers Association. Company's motto: Quality in design, Quality in production and Quality in after sales service. Shared common traits with partner. Internally generated capital of S$12,000. Frivolous annual dinners organised for his staff."
OHC002806_014,Synopsis,Manual,256,Inculcation of financial values on his children. Opined that children should be given an education and left to earn their own money. Cited instances to show that his family was not overindulgent. Spoke of his children's allowances. Future plans for his organization. Viewed that 80% hard work and 20% luck was key to success in business. Stressed on importance of hiring good staff.
OHC002806_002,Synopsis,Manual,256,Elaborated on relationship with his parents. Difficulties encountered in entering an English school in those days. Opined that education was a life long process. Description of Winstedt Primary School. Felt too much emphasis given to Science stream education. Reasons why he himself chose Science over Arts although he would have excelled in Arts stream. Represented school in four sporting activities including hockey and rugby. His experiential training at the outward bound school and its impact on him. His love for painting. Recalled visiting various art exhibitions. Description of art and craft lessons at school. His role in championing local artists.
OHC002806_010,Synopsis,Manual,256,"His relationship with his partner and their personalities. Described themselves as honorable people with integrity. Detailed on his management philosophy and cited issues like salary freezes and promotions during bad times. Mentioned an employee who was better at operations than sales and marketing and how he was retained and given a more suited managerial role in operations. Believed that at Kingsmen, the organization and the staff had a synergistic partnership. Circumstances under which they would lay off staff. Company's recruitment process and how they ensured job-fit. Explained how the Humpty- Dumpty statue and the name 'Kingsmen' came about. Described how the company pulled through economic crises."
OHC002806_001,Synopsis,Manual,256,Date and place of his birth. His family background. Communal living conditions at Boat Quay. Recounted what his father and neighbours did for a living. Early childhood memories. Recalled watching movies with his father. Books and magazines he read that influenced him. Patronized both the National and USIS Libraries. His love for soccer. Felt sports was a good outlet for him. Description of life by the Singapore River. Mention of gang fights and rampant gambling. Experienced helping out at father's drinks stall. Inculcation of values by his parents. Quoted from his father and how it impressed him.
OHC003719_002,Synopsis,Manual,256,"Elaboration on theatres in Great World. Need coupon to dance in the cabaret. One could peep to watch people dancing. Boxing in Great World. Mentioned gambling stalls, street hawkers. Father’s leisure was to visit friends. Interviewee and siblings were left very much on their own when young. Interviewee joined the Scouts. Mentioned bomb dropped in Tiong Bahru during Japanese Occupation. Interviewee’s brother joined the volunteer corps and did not return after the mass screening. Interviewee bought rationed cigarettes to sell during Japanese Occupation. Use coconut husks to light cigarettes. He also sold coconut oil and soaps. Interviewee worked as an office boy in Medical College during the war. Mentioned how his fountain pen was spoiled by a Japanese officer. Ate discarded beef used for experiments. Punishment inflicted by sentry if caught stealing from the college. Interviewee worked for Oriental Telephone Electric Company (OTEC) before the end of war."
OHC003719_006,Synopsis,Manual,256,"Interviewee was promoted and posted to City Engineers Department. He applied for accountant’s job after he was qualified through self –study. Elaboration on his accountancy course. He took more than five years to complete his studies. Interviewee took his first plane ride at the age of 47. Interviewee retired at the age of 68 years. Interviewee was promoted from junior officer to Assistant Manager after one year in a bank. He felt that as long as one did well, one will shine in the private sector, unlike the public sector. Mentioned his unhappiness when he was placed under pupilage when he had associateship in accountancy. Interviewee was secretary of Resource Development Corporation (RDC), which extracted granite from Mandai Quarry. Mentioned his incentive award to Europe. His philosophy on life. Recalled incident where he was roped into a troublesome situation at work. His mother died within 48 hours of father’s death. How interviewee met his wife in 1957. Interviewee’s wife was a staff nurse in City Council. Interviewee’s conversion to Catholicism. Recalled his family’s holidays overseas. Interviewee’s wife was the pillar behind the family."
